КОПЕНГАГЕН	Столиця Данії
ДУБЛІН	Столиця Ірландії
ЕДИНБУРГ	Столиця Шотландії
БРЮССЕЛЬ	Столиця Бельгії
АМСТЕРДАМ	Столиця Нідерландів
ТОКІО	Столиця Японії
СЕУЛ	Столиця Південної Кореї
ПЕКІН	Столиця Китаю
КАЇР	Столиця Єгипту
НАЙРОБІ	Столиця Кенії
ГАВАНА	Столиця Куби
БОГОТА	Столиця Колумбії
КІТО	Столиця Еквадору
АНКАРА	Столиця Туреччини
ТБІЛІСІ	Столиця Грузії
ЄРЕВАН	Столиця Вірменії
БАКУ	Столиця Азербайджану
ВІЛЬНЮС	Столиця Литви
РИГА	Столиця Латвії
ТАЛЛІНН	Столиця Естонії
БУХАРЕСТ	Столиця Румунії
БУДАПЕШТ	Столиця Угорщини
КИШИНІВ	Столиця Молдови
ЛЬВІВ	Місто Лева на заході України
ОДЕСА	Місто біля моря з Потьомкінськими сходами
ХАРКІВ	Перша столиця Радянської України
ПОЛТАВА	Місто, під яким 1709 року відбулася відома битва
ЧЕРНІГІВ	Давнє місто на Десні зі Спасо-Преображенським собором
УЖГОРОД	Обласний центр Закарпаття
ЛУЦЬК	Місто із замком Любарта на Волині
РІВНЕ	Обласний центр, неподалік якого Тунель кохання
ТЕРНОПІЛЬ	Обласний центр на березі великого ставу
ЧЕРНІВЦІ	Місто, де стоїть колишня резиденція митрополитів Буковини
ІЗМАЇЛ	Місто на Дунаї в Одеській області
ДЕСНА	Найдовша притока Дніпра
ДНІСТЕР	Річка, що впадає в лиман біля Білгорода
ДУНАЙ	Друга за довжиною річка Європи
СИНЕВИР	Найбільше гірське озеро Українських Карпат
СВІТЯЗЬ	Найбільше з Шацьких озер на Волині
ХОРТИЦЯ	Найбільший острів на Дніпрі, колиска козацтва
КАРПАТИ	Гори на заході України
ПОЛОНИНА	Гірське пасовище в Карпатах
ГОВЕРЛА	Найвища вершина України
КРИМ	Півострів, найвища точка якого — Роман-Кош
АМАЗОНКА	Найповноводніша річка світу
МІССІСІПІ	Річка, якою плавав Том Сойєр
ВОЛГА	Найдовша річка Європи
ТЕМЗА	Річка, що тече через Лондон
СЕНА	Річка, що тече через Париж
ДЖОМОЛУНГМА	Найвища гора світу
КІЛІМАНДЖАРО	Найвища гора Африки
МОНБЛАН	Найвища вершина Альп
АНДИ	Найдовший гірський хребет світу
ГІМАЛАЇ	Гірська система, де стоять найвищі вершини планети
САХАРА	Найбільша жарка пустеля світу
ГОБІ	Пустеля на півдні Монголії
БАЙКАЛ	Найглибше озеро світу
ТИТІКАКА	Високогірне озеро на кордоні Перу й Болівії
ВІКТОРІЯ	Найбільше озеро Африки
НІАГАРА	Водоспад на кордоні США й Канади
ГРЕНЛАНДІЯ	Найбільший острів світу
МАДАГАСКАР	Острів лемурів біля берегів Африки
СІЦИЛІЯ	Найбільший острів Середземного моря
ТАСМАНІЯ	Острів-штат на півдні Австралії
ГАВАЇ	Штат США на островах посеред Тихого океану
ФІОРД	Вузька глибока морська затока між скелями
ЛАГУНА	Мілка водойма, відокремлена від моря косою чи рифом
АРХІПЕЛАГ	Група островів
ПІВОСТРІВ	Суходіл, з трьох боків оточений водою
ПРОТОКА	Вузька смуга води, що з'єднує два моря
ДЕЛЬТА	Розгалужене гирло річки, назване за грецькою літерою
ЛИМАН	Затоплене морем гирло річки
ОАЗИС	Зелений острівець у пустелі з джерелом води
ТУНДРА	Безлісна зона вічної мерзлоти
ТАЙГА	Північний хвойний ліс
САВАНА	Трав'янистий степ Африки з поодинокими деревами
ПАМПА	Південноамериканський степ
ПРЕРІЯ	Північноамериканський степ
МУСОН	Вітер, що змінює напрямок залежно від пори року
ТАЙФУН	Тропічний циклон у Тихому океані
ЦУНАМІ	Велетенська хвиля після підводного землетрусу
ЛАВИНА	Сніг, що зірвався з гірського схилу
ГЕЙЗЕР	Джерело, що періодично викидає фонтан гарячої води
ЛЬОДОВИК	Повільна крижана ріка в горах
АЙСБЕРГ	Крижана гора, що відкололася від шельфу
ЕКВАТОР	Уявна лінія, що ділить Землю на дві півкулі
МЕРИДІАН	Лінія на глобусі від полюса до полюса
ПАРАЛЕЛЬ	Лінія однакової широти на глобусі
ШИРОТА	Кутова відстань від екватора
ТРОПІК	Паралель, над якою Сонце буває в зеніті в сонцестояння
ПОЛЮС	Точка, де сходяться всі меридіани
АТЛАС	Збірник географічних карт
КОМПАС	Прилад, стрілка якого вказує на північ
ГЛОБУС	Модель Землі на підставці
МАСШТАБ	Відношення відстані на карті до відстані на місцевості
АЗИМУТ	Кут між напрямком на північ і напрямком на предмет
МЕРКУРІЙ	Найближча до Сонця планета
ВЕНЕРА	Найгарячіша планета Сонячної системи
ЮПІТЕР	Найбільша планета Сонячної системи
САТУРН	Планета з найпомітнішими кільцями
УРАН	Планета, що обертається, лежачи на боці
НЕПТУН	Найвіддаленіша від Сонця планета
ПЛУТОН	Колишня дев'ята планета, з 2006 року карликова
МІСЯЦЬ	Єдиний природний супутник Землі
КОМЕТА	Небесне тіло з сяючим хвостом
МЕТЕОРИТ	Космічне тіло, що долетіло до поверхні Землі
АСТЕРОЇД	Мале кам'яне тіло, що обертається навколо Сонця
ГАЛАКТИКА	Величезна зоряна система, як-от Чумацький Шлях
ТУМАННІСТЬ	Хмара газу й пилу серед зірок
ОРБІТА	Шлях супутника навколо планети
ЗАТЕМНЕННЯ	Явище, коли Місяць закриває Сонце
ТЕЛЕСКОП	Прилад для спостереження далеких небесних тіл
ПЛАНЕТАРІЙ	Зал із куполом, на якому показують зоряне небо
КОСМОНАВТ	Людина, що побувала на орбіті
СУПУТНИК	Тіло, що обертається навколо планети
КАДЕНЮК	Перший астронавт незалежної України
ГАЛІЛЕЙ	Італійський учений, що відкрив чотири супутники Юпітера
КОПЕРНИК	Автор геліоцентричної системи світу
КЕПЛЕР	Астроном, що відкрив закони руху планет
НЬЮТОН	Учений, якому за легендою на голову впало яблуко
ЕЙНШТЕЙН	Автор теорії відносності
КЮРІ	Двічі лауреатка Нобелівської премії, дослідниця радіоактивності
ПУЛЮЙ	Український фізик Іван, дослідник Х-променів
ПАТОН	Прізвище батька й сина, видатних фахівців зі зварювання
АМОСОВ	Видатний київський кардіохірург Микола
АТОМ	Найменша частинка хімічного елемента
ЕЛЕКТРОН	Негативно заряджена частинка атома
ПРОТОН	Позитивно заряджена частинка ядра
НЕЙТРОН	Частинка ядра без електричного заряду
МОЛЕКУЛА	Найменша частинка речовини, що зберігає її властивості
ІЗОТОП	Різновид атома з іншою кількістю нейтронів
КИСЕНЬ	Газ, без якого неможливе дихання
ВОДЕНЬ	Найлегший хімічний елемент
ГЕЛІЙ	Легкий газ, яким наповнюють повітряні кульки
АЗОТ	Газ, якого в повітрі найбільше
ВУГЛЕЦЬ	Елемент, з якого складаються і графіт, і алмаз
НАТРІЙ	Метал, що разом із хлором утворює кухонну сіль
КАЛІЙ	Метал, якого багато в бананах
КАЛЬЦІЙ	Елемент, з якого значною мірою складаються кістки
ЗАЛІЗО	Метал, що є основою сталі
МІДЬ	Червоний метал, з якого роблять дроти
ЦИНК	Метал, яким покривають залізо від іржі
ОЛОВО	Метал, основний компонент припою
СВИНЕЦЬ	Важкий м'який метал, з якого колись робили дріб
РТУТЬ	Єдиний метал, рідкий за кімнатної температури
ЗОЛОТО	Благородний метал із хімічним символом Au
СРІБЛО	Метал із символом Ag, найкращий провідник електрики
ПЛАТИНА	Благородний метал із символом Pt
ТИТАН	Міцний легкий метал, з якого роблять імплантати
ХЛОР	Газ, яким знезаражують воду в басейнах
ОЗОН	Газ, шар якого захищає Землю від ультрафіолету
АМІАК	Газ із різким запахом, основа нашатирного спирту
КИСЛОТА	Речовина, що фарбує лакмус у червоний колір
ОКСИД	Сполука елемента з киснем
КРИСТАЛ	Тверде тіло з упорядкованою будовою
ГРАФІТ	Мінерал, з якого роблять стрижень олівця
АЛМАЗ	Найтвердіший природний мінерал
КВАРЦ	Мінерал, з якого переважно складається пісок
ГРАНІТ	Тверда порода, якою облицьовують набережні
МАРМУР	Камінь, з якого Мікеланджело вирізьбив Давида
БАЗАЛЬТ	Темна вулканічна гірська порода
МАГНІТ	Тіло, що притягує залізо
ЕНЕРГІЯ	Здатність тіла виконувати роботу
ІНЕРЦІЯ	Властивість тіла зберігати швидкість
ГРАВІТАЦІЯ	Всесвітнє тяжіння
ТЕРТЯ	Сила, що заважає ковзанню
ТИСК	Сила, що діє на одиницю площі
ЧАСТОТА	Кількість коливань за секунду
АМПЕР	Одиниця сили струму
ВОЛЬТ	Одиниця електричної напруги
ДЖОУЛЬ	Одиниця енергії й роботи
ГЕРЦ	Одиниця частоти
КЕЛЬВІН	Одиниця абсолютної температури
ПАСКАЛЬ	Одиниця тиску
ДЕЦИБЕЛ	Одиниця рівня гучності звуку
ПАРСЕК	Одиниця відстані в астрономії, близько 3,26 світлового року
ЛІНЗА	Прозоре скло, що збирає або розсіює промені
ПРИЗМА	Скляне тіло, що розкладає світло на спектр
СПЕКТР	Смуга кольорів, на яку розкладається біле світло
РЕЗОНАНС	Різке зростання коливань, коли частоти збігаються
АТМОСФЕРА	Повітряна оболонка Землі
ТЕРМОМЕТР	Прилад для вимірювання температури
БАРОМЕТР	Прилад для вимірювання атмосферного тиску
ГІГРОМЕТР	Прилад для вимірювання вологості повітря
СПИДОМЕТР	Прилад, що показує швидкість автомобіля
МІКРОСКОП	Прилад для розглядання дуже дрібних об'єктів
ТРИКУТНИК	Фігура, сума кутів якої — 180 градусів
КВАДРАТ	Прямокутник з рівними сторонами
РОМБ	Паралелограм з рівними сторонами
ТРАПЕЦІЯ	Чотирикутник, у якого лише дві сторони паралельні
ЕЛІПС	Сплющене коло
ПІРАМІДА	Многогранник з основою-многокутником і вершиною
КОНУС	Тіло, схоже на ріжок морозива
ЦИЛІНДР	Тіло, схоже на консервну банку
СФЕРА	Поверхня кулі
ДІАМЕТР	Хорда, що проходить через центр кола
РАДІУС	Відстань від центра кола до будь-якої його точки
ПЕРИМЕТР	Сума довжин сторін многокутника
ГІПОТЕНУЗА	Сторона прямокутного трикутника навпроти прямого кута
КАТЕТ	Сторона прямокутного трикутника біля прямого кута
БІСЕКТРИСА	Промінь, що ділить кут навпіл
МЕДІАНА	Відрізок від вершини трикутника до середини протилежної сторони
ВЕКТОР	Відрізок, що має напрямок
ДРІБ	Число на кшталт трьох четвертих
ДІЛЬНИК	Число, на яке ділять
ДОБУТОК	Результат множення
ЧАСТКА	Результат ділення
РІЗНИЦЯ	Результат віднімання
КОРІНЬ	Число, яке в квадраті дає дане
ВІДСОТОК	Сота частина числа
МІЛЬЙОН	Тисяча тисяч
НУЛЬ	Число, на яке не можна ділити
АЛГЕБРА	Розділ математики, де числа замінюють літерами
ГЕОМЕТРІЯ	Наука про фігури та їхні властивості
ТЕОРЕМА	Твердження, яке треба довести
АКСІОМА	Твердження, яке приймають без доведення
ІНТЕГРАЛ	Поняття математичного аналізу, обернене до похідної
ЛОГАРИФМ	Показник степеня, до якого треба піднести основу
АЛГОРИТМ	Послідовність кроків для розв'язання задачі
ПРОЦЕСОР	«Мозок» комп'ютера
КЛАВІАТУРА	Пристрій для введення тексту
МОНІТОР	Екран комп'ютера
СКАНЕР	Пристрій, що перетворює паперовий документ на цифровий
ПАРОЛЬ	Секретне слово для входу
БРАУЗЕР	Програма для перегляду вебсторінок
ПІКСЕЛЬ	Найменша точка цифрового зображення
БАЙТ	Вісім бітів
КУРСОР	Мерехтлива позначка, що показує місце введення
АЛЬБАТРОС	Морський птах із найбільшим розмахом крил
ПІНГВІН	Птах, що не літає, зате чудово плаває
ЛЕЛЕКА	Птах, що за повір'ям приносить дітей
ЖИРАФА	Тварина з найдовшою шиєю
ФЛАМІНГО	Розовий птах, що стоїть на одній нозі
ПАВИЧ	Птах із розкішним віялом хвоста
КОЛІБРІ	Найменший птах світу
ПЕЛІКАН	Птах зі шкірястим мішком під дзьобом
СТРАУС	Найбільший із сучасних птахів
СОВА	Нічний птах, символ мудрості
ДЯТЕЛ	Птах, якого називають лікарем лісу
ЗОЗУЛЯ	Птах, що підкидає яйця в чужі гнізда
ЛАСТІВКА	Птах, що за прикметою низько літає перед дощем
СОЛОВЕЙ	Співочий птах, що співає вночі
СНІГУР	Червоногрудий птах, що прилітає взимку
ГОРОБЕЦЬ	Маленький сірий птах, що цвірінькає під стріхою
ЧАПЛЯ	Довгоногий птах боліт
ЛЕБІДЬ	Білий птах, символ вірності
ОРЕЛ	Хижий птах на гербах багатьох держав
СОКІЛ	Найшвидший птах у стрімкому падінні
КАЖАН	Єдиний ссавець, здатний до справжнього польоту
ДЕЛЬФІН	Морський ссавець, що орієнтується за допомогою ультразвуку
КАШАЛОТ	Найбільший зубатий кит
МОРЖ	Ластоногий із довгими іклами
ТЮЛЕНЬ	Ластоногий ссавець без вушних раковин
ВОСЬМИНІГ	Морський молюск із вісьмома щупальцями
МЕДУЗА	Прозора драглиста морська тварина
АКУЛА	Морський хижак із хрящовим скелетом
КАРАСЬ	Невибаглива ставкова риба
ЩУКА	Прісноводна хижа риба з видовженою пащею
ОСЕТЕР	Риба, ікру якої цінують як делікатес
ЛОСОСЬ	Риба, що йде на нерест угору по річці
КАМБАЛА	Плоска риба з очима на одному боці
КРОКОДИЛ	Найбільша сучасна рептилія
ХАМЕЛЕОН	Ящірка, що змінює колір
ЧЕРЕПАХА	Плазун із панциром
ВАРАН	Велика ящірка, як-от комодоський дракон
ПІТОН	Великий неотруйний змій-душитель
ГАДЮКА	Отруйна змія із зигзагом на спині
ЖАБА	Земноводне, що квакає
САЛАМАНДРА	Хвостате земноводне, яке за легендою не горить у вогні
ТРИТОН	Хвостате земноводне ставків
МУРАХА	Комаха, що піднімає вантаж, у рази важчий за себе
БДЖОЛА	Комаха, що дає мед
ДЖМІЛЬ	Великий пухнастий родич бджоли
МЕТЕЛИК	Комаха, що виходить із лялечки
БАБКА	Комаха з чотирма прозорими крилами, що полює на льоту
КОНИК	Комаха, що стрибає в траві й стрекоче
СВІТЛЯЧОК	Жук, що світиться в темряві
ПАВУК	Восьминога тварина, що плете сітку
СКОРПІОН	Членистоногий з отруйним жалом на хвості
РАВЛИК	Молюск, що носить хатку на спині
ТИГР	Найбільша кішка світу
ЛЕОПАРД	Плямиста кішка, що затягує здобич на дерево
ГЕПАРД	Найшвидша наземна тварина
ЯГУАР	Найбільша кішка Америки
РИСЬ	Лісова кішка з китицями на вухах
ВОВК	Хижак, що живе зграєю
ЛИСИЦЯ	Руда хитрунка з казок
ВЕДМІДЬ	Великий хижак, що впадає в зимову сплячку
БОРСУК	Нічний звір, що риє глибокі нори
ЄНОТ	Смугастохвостий звір, що полоще їжу
БОБЕР	Гризун, що будує греблі
ХОВРАХ	Степовий гризун, що стоїть стовпчиком
БІЛКА	Руда гризунка з пухнастим хвостом
ЇЖАК	Колючий нічний звірок
КРІТ	Підземний звір, що майже нічого не бачить
ЗАЄЦЬ	Звір, у якого взимку біліє шубка
КЕНГУРУ	Сумчаста тварина Австралії, що пересувається стрибками
КОАЛА	Сумчастий ведмедик, що їсть листя евкаліпта
ПАНДА	Бамбуковий ведмідь
ГОРИЛА	Найбільша людиноподібна мавпа
ОРАНГУТАН	Руда людиноподібна мавпа Борнео й Суматри
ШИМПАНЗЕ	Разом із бонобо — найближчий родич людини
СЛОН	Найбільша наземна тварина
НОСОРІГ	Товстошкірий звір з одним або двома рогами на морді
БЕГЕМОТ	Товстошкірий звір, що проводить день у воді
ВЕРБЛЮД	«Корабель пустелі»
ЗЕБРА	Смугастий дикий кінь Африки
АНТИЛОПА	Швидкий рогатий травоїдний звір саван
ЛАМА	Південноамериканський родич верблюда
ЗУБР	Найважча дика тварина Європи
ЛОСЬ	Найбільший олень
КОСУЛЯ	Невеликий лісовий олень
ОЛЕНЬ	Тварина, що щороку скидає роги
МАМОНТ	Вимерлий волохатий слон
ДИНОЗАВР	Вимерлий «жахливий ящір»
ДОДО	Вимерлий нелітаючий птах з острова Маврикій
СОНЯШНИК	Рослина, що повертає голову за сонцем
КАШТАН	Дерево, що стало символом Києва
БЕРЕЗА	Дерево з білою корою
ВЕРБА	Дерево, гілки якого святять за тиждень до Великодня
ЯЛИНА	Хвойне дерево, яке прикрашають на Новий рік
СОСНА	Хвойне дерево з довгою хвоєю по дві голки
МОДРИНА	Хвойне дерево, що скидає хвою на зиму
КЕДР	Хвойне дерево, з шишок якого збирають горіхи
ТОПОЛЯ	Дерево, що навесні засипає місто пухом
ЛИПА	Дерево, з квіту якого заварюють чай
КЛЕН	Дерево, листок якого на прапорі Канади
КАЛИНА	Кущ із червоними ягодами, символ України
ГОРОБИНА	Дерево з гронами червоних ягід, які клюють птахи
БУЗОК	Кущ із запашним фіолетовим цвітом
ТЮЛЬПАН	Весняна квітка, символ Нідерландів
ТРОЯНДА	Квітка з шипами, «королева квітів»
ЛІЛЕЯ	Велика запашна квітка, символ чистоти
ПІВНИКИ	Народна назва ірису
РОМАШКА	Квітка з білими пелюстками, на якій ворожать
ЧОРНОБРИВЦІ	Оранжеві квіти, які «насіяла мати» в пісні
МАЛЬВА	Висока квітка біля української хати
КОНВАЛІЯ	Лісова квітка з білими дзвіночками
ПРОЛІСОК	Одна з перших весняних квіток
КУЛЬБАБА	Жовта квітка, що стає пухнастою кулькою
КРОПИВА	Рослина, що пече шкіру
ПОЛИН	Гірка сріблясто-сіра трава степу
ПАПОРОТЬ	Рослина, що за легендою цвіте на Купала
КАКТУС	Колюча рослина пустель
БАМБУК	Велетенський злак, що за добу виростає на десятки сантиметрів
ОРХІДЕЯ	Вишукана квітка, родичкою якої є ваніль
ЛОТОС	Водяна квітка, національний символ Індії
ЕВКАЛІПТ	Дерево, листям якого живиться коала
СЕКВОЯ	Одне з найвищих дерев світу
ПШЕНИЦЯ	Злак, з якого печуть білий хліб
ЖИТО	Злак, з якого печуть темний хліб
ГРЕЧКА	Крупа з трикутних зерен
КУКУРУДЗА	Злак, качани якого варять
КАРТОПЛЯ	Бульби, які привезли до Європи з Америки
ГАРБУЗ	Овоч, який дають неугодному нареченому
БУРЯК	Коренеплід, без якого не буває борщу
КВАСОЛЯ	Бобова культура з різнобарвним насінням
ПЕТРУШКА	Зелень із кучерявим листям
КРІП	Пряна зелень, без якої не солять огірки
ЧАСНИК	Пряна рослина, що за повір'ям відлякує вампірів
ЦИБУЛЯ	Овоч, від якого плачуть
ПОМІДОР	Червоний овоч родом з Америки
БАКЛАЖАН	Фіолетовий овоч, «синенький»
ПЕРЕЦЬ	Прянощі, горошини яких бувають чорні й білі
КАВУН	Велика ягода з зеленою смугастою шкіркою
ДИНЯ	Солодкий баштанний плід із жовтою шкіркою
ПОЛУНИЦЯ	Червона ягода з насінням зовні
АГРУС	Колючий кущ із кислими ягодами
СМОРОДИНА	Кущ із чорними або червоними ягодами
МАЛИНА	Ягода, чай з якою п'ють при застуді
ОЖИНА	Чорна ягода з колючого куща
ЧОРНИЦЯ	Лісова ягода, що фарбує язик
ЖУРАВЛИНА	Кисла болотна ягода
ВИШНЯ	Дерево, садок якого «коло хати» в Шевченка
АБРИКОС	Оранжевий плід із великою кісточкою, родич персика
ЛИМОН	Кислий жовтий цитрус
АПЕЛЬСИН	Цитрус, назва якого означає «китайське яблуко»
МАНДАРИН	Новорічний цитрус
БАНАН	Жовтий тропічний плід, що росте гронами
АНАНАС	Тропічний плід із чубчиком листя
ГРАНАТ	Плід із безліччю соковитих зерен
ІНЖИР	Плід смоковниці
ФІНІК	Солодкий плід пальми
КОКОС	Горіх пальми з молоком усередині
ОЛИВКА	Плід, з якого тиснуть олію
ФУНДУК	Культурний лісовий горіх
МИГДАЛЬ	Кісточка, з якої роблять марципан
СЕРЦЕ	Орган, що качає кров
ПЕЧІНКА	Найбільша залоза людського тіла
ЛЕГЕНІ	Орган дихання
НИРКА	Парний орган, що фільтрує кров
ШЛУНОК	Орган, де перетравлюється їжа
СКЕЛЕТ	Каркас тіла з кісток
ХРЕБЕТ	Опора тіла з тридцяти трьох — тридцяти чотирьох кісток
КОЛІНО	Суглоб між стегном і гомілкою
ЗІНИЦЯ	Чорний отвір в оці, що звужується на світлі
СІТКІВКА	Світлочутлива оболонка ока
ІМУНІТЕТ	Здатність організму протистояти хворобам
ВАКЦИНА	Препарат для щеплення
ВІТАМІН	Речовина, брак якої призводить до цинги
АНТИБІОТИК	Ліки проти бактерій
ПЕНІЦИЛІН	Перший антибіотик, відкритий Флемінгом
ГЕМОГЛОБІН	Білок крові, що переносить кисень
ІНСУЛІН	Гормон, якого бракує при цукровому діабеті
АДРЕНАЛІН	Гормон страху й азарту
ПУЛЬС	Поштовхи крові, які лікар рахує на зап'ясті
ГРИП	Сезонна вірусна хвороба
АЛЕРГІЯ	Надмірна реакція організму на пилок чи шерсть
СТЕТОСКОП	Трубка, якою лікар слухає серце й легені
РЕНТГЕН	Знімок кісток, названий на честь німецького фізика
ГІППОКРАТ	Давньогрецький лікар, автор знаменитої клятви
ФАРАОН	Правитель Стародавнього Єгипту
МУМІЯ	Забальзамоване тіло в єгипетській гробниці
КОЛІЗЕЙ	Амфітеатр у Римі, де билися гладіатори
ГЛАДІАТОР	Боєць на арені Стародавнього Риму
ЛЕГІОН	Основний підрозділ римської армії
ПАРФЕНОН	Храм Афіни на Акрополі
АКРОПОЛЬ	Укріплена верхня частина давньогрецького міста
ОЛІМПІАДА	Змагання, що проводяться раз на чотири роки
МАРАФОН	Забіг на 42 кілометри з грецької легенди
ВІКІНГ	Скандинавський мореплавець раннього Середньовіччя
ЛИЦАР	Середньовічний воїн в обладунках
ЗАМОК	Укріплена резиденція феодала
ФЕОДАЛ	Власник земель у Середньовіччі
ГЕТЬМАН	Правитель козацької держави
КОЗАК	Вільний воїн Запорозької Січі
БУЛАВА	Символ гетьманської влади
БУНЧУК	Древко з кінським хвостом, клейнод гетьмана
ЧАЙКА	Козацький човен, що носить ім'я птаха
КОБЗАР	Сліпий мандрівний виконавець дум
БАНДУРА	Народний струнний інструмент кобзарів
ТРИПІЛЛЯ	Давня культура, названа за селом на Київщині
СКІФИ	Кочовики, яким належить золота пектораль з Товстої Могили
ПЕКТОРАЛЬ	Золота нагрудна прикраса скіфів
ЛІТОПИС	Давня хроніка подій за роками
ГРАМОТА	Старовинний документ або вміння читати й писати
КНЯЗЬ	Правитель у Київській Русі
ВОЛОДИМИР	Князь, що хрестив Русь 988 року
ЯРОСЛАВ	Князь, прозваний Мудрим
ОЛЬГА	Княгиня, що першою серед правителів Русі прийняла християнство
СОФІЯ	Київський собор, де похований Ярослав Мудрий
ЛАВРА	Великий монастир, як-от Києво-Печерська
МАЗЕПА	Гетьман, що уклав союз зі шведським королем
ХМЕЛЬНИЦЬКИЙ	Гетьман, що очолив визвольну війну 1648 року
САГАЙДАЧНИЙ	Гетьман, учасник Хотинської війни 1621 року
ОРЛИК	Гетьман, автор Конституції 1710 року
ГРУШЕВСЬКИЙ	Історик, голова Центральної Ради
КОНСТИТУЦІЯ	Основний закон держави
ПАРЛАМЕНТ	Законодавчий орган держави
РЕФЕРЕНДУМ	Всенародне голосування
ДЕМОКРАТІЯ	Влада народу
РЕСПУБЛІКА	Форма правління з виборним главою держави
МОНАРХІЯ	Форма правління, де влада передається у спадок
ІМПЕРІЯ	Велика держава, що підкорила багато народів
ГЕРБ	Офіційна емблема держави чи міста
ГІМН	Урочиста пісня держави
ПРАПОР	Полотнище в кольорах держави
ВАЛЮТА	Грошова одиниця країни
ГРИВНЯ	Грошова одиниця України
ЄВРО	Валюта, що з 2002 року ходить готівкою в багатьох країнах ЄС
ДОЛАР	Валюта США
ФУНТ	Британська грошова одиниця
ЕНЕЇДА	Поема Котляревського, з якої почалася нова українська література
ЗАПОВІТ	Вірш Шевченка «Як умру, то поховайте…»
МАВКА	Героїня «Лісової пісні» Лесі Українки
ШЕВЧЕНКО	Поет, автор «Кобзаря»
ФРАНКО	Письменник, автор «Мойсея» й «Захара Беркута»
КОТЛЯРЕВСЬКИЙ	Автор «Енеїди»
СКОВОРОДА	Мандрівний філософ: «Світ ловив мене, та не спіймав»
КОЦЮБИНСЬКИЙ	Автор «Тіней забутих предків»
СТЕФАНИК	Майстер новели з Покуття, автор «Новини»
СТУС	Поет-шістдесятник Василь
КОСТЕНКО	Поетеса Ліна, авторка «Маруся Чурай»
ПРИМАЧЕНКО	Художниця Марія, авторка фантастичних звірів
БІЛОКУР	Художниця Катерина, що малювала квіти
АРХИПЕНКО	Український скульптор-кубіст Олександр
МАЛЕВИЧ	Автор «Чорного квадрата», народжений у Києві
ЛИСЕНКО	Композитор, автор музики до «Наталки Полтавки»
ЛЕОНТОВИЧ	Автор обробки «Щедрика»
ЩЕДРИК	Колядка, відома у світі як Carol of the Bells
ДУМА	Епічна пісня кобзарів
ГОПАК	Запальний український народний танець
КОЛОМИЙКА	Коротка жартівлива пісня-танець гуцулів
ТРЕМБІТА	Довга дерев'яна гуцульська труба
ЦИМБАЛИ	Струнний інструмент, по якому б'ють молоточками
СОПІЛКА	Народний дерев'яний духовий інструмент
ПИСАНКА	Великоднє яйце з візерунком, нанесеним воском
ВИШИВАНКА	Українська сорочка з орнаментом
РУШНИК	Вишите полотно для обрядів
КОРОВАЙ	Весільний обрядовий хліб
КУТЯ	Обрядова страва на Святвечір
ВЕРТЕП	Різдвяний ляльковий театр
КОЛЯДКА	Різдвяна обрядова пісня
ГАГІЛКА	Весняна обрядова пісня-гра
